ID,Name,Intelligence,Strength,Speed,Durability,Power,Combat,Total,FullName,AlterEgos,Aliases,PlaceOfBirth,FirstAppearance,Publisher,Alignment,Gender,Race,Height_cm,Weight_kg,EyeColor,HairColor,Occupation,Base,GroupAffiliation,Relatives,ImageURL
199,Danny Cooper,,,,,,,,,,,,,HarperCollins,Good,Male,,0,0,Brown,Blond,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1152.jpg
200,Daphne Powell,38,10,8,10,56,10,132,Daphne Powell,,,,No Ordinary Family S01E01 (2010),ABC Studios,Good,Female,,0,0,,,Student,,,"Jim Powell and Stephanie Powell (parents), JJ Powell (brother)",https://www.superherodb.com/pictures2/portraits/10/100/1356.jpg
201,Daredevil,75,13,25,35,61,100,309,Matt Murdock,,"Matt; Jack Batlin; Kingpin of Crime; Laurent LeVasseur; Michael ""Mike"" Murdock; Scarlet Swashbuckler; Nameless One; Kingpin of Hell's Kitchen; The Man Without Fear; The Guardian Devil; DD; Red; Hornhead; Cooper Peyton; Captain Universe","New York City, New York","Daredevil #1 (April, 1964)",Marvel Comics,Good,Male,Human,183,90,Blue,Red,"Adventurer, vigilante, Attorney at Law","Hell's Kitchen, New York, New York, Shadowland (formerly)","none; Formerly: partner of Black Widow (Natasha Romanoff), Defenders, S.H.I.E.L.D., Marvel Knights, Secret Avengers (Civil War), Hand leader.","Jonathan ""Battling Jack"" Murdock (Father, deceased), Maggie Murdock (aka Sister Maggie, Mother), Milla Donovan (ex-wife)",https://www.superherodb.com/pictures2/portraits/10/100/52.jpg
202,Darkhawk,50,32,33,70,74,64,323,Christopher Powell,,Bucket-Head; Edge-Man; Powell,"Queens, New York","Darkhawk #1 (March, 1991)",Marvel Comics,Good,Male,Human,185,81,Brown,Brown,Retired Superhero,"Los Angeles, California; formerly New York City and Avengers Compound","formerly Loners, New Warriors, Avengers West Coast (reservist), Secret Defenders (founder)","Michael Powell (father), Grace Powell (mother), Jonathon and Jason Powell (brothers)",https://www.superherodb.com/pictures2/portraits/10/100/53.jpg
203,Darkman,75,14,23,85,12,28,237,Peyton Westlake,,,,"Darkman (August 24, 1990)",Universal Studios,Good,Male,,0,0,,,Scientist,,,Julie Hastings (girlfriend),https://www.superherodb.com/pictures2/portraits/10/100/1126.jpg
204,Darkseid,88,100,83,100,100,95,566,Uxas,,Dark God,,Superman's Pal Jimmy Olsen #134 (November 1970),DC Comics,Bad,Male,New God,267,817,Red,No Hair,Dictator of Apokolips,,"New Gods of Apokolips(ruler), Secret Society of Supervillains","Zonuz (father), Izaya (brother), Avia (sister, deceased), Grail (daughter), Kalibak (son), Orion (son), Deathspawn (son), Scot (nephew/adopted son)",https://www.superherodb.com/pictures2/portraits/10/100/668.jpg
205,Darkside,,,,,,,,,,,,,DC Comics,Bad,,,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/840.jpg
206,Darkstar,38,8,35,42,79,64,266,Laynia Petrovna,,Tyomni Zvesda,"Minks, USSR","Champions #7 (August, 1976)",Marvel Comics,Good,Female,Mutant,168,56,Brown,Blond,Occupation unknown,"(before death) Paris, France (formerly) Moscow, USSR; Los Angeles, California, United States","(at death)X-Corps (formerly) Champions, Winter Guard, Soviet Super Soldiers","Nicolai Krylenko a.k.a. Vanguard (brother), Sergi Krylov a.k.a. The Presence (father), Marya Krylova (mother, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/169.jpg
207,Darth Maul,56,48,50,30,100,100,384,,,Sith; Master Of The Double-Bladed Lightsaber,Dathomir,Star Wars Episode I: The Phantom Menace (1999),George Lucas,Bad,Male,Dathomirian Zabrak,170,0,Yellow / Red,,,,,Darth Sidious (Master),https://www.superherodb.com/pictures2/portraits/10/100/10464.jpg
208,Darth Vader,69,48,33,35,100,100,385,Anakin Skywalker,,Lord Vader,Tatooine,Star Wars: Episode IV - A New Hope (1977),George Lucas,Bad,Male,Cyborg,198,135,Yellow,No Hair,"Sith Lord, Supreme Commander of the Imperial Fleet",Death Star,"Sith, Galactic Empire","Luke Skywalker (Son), Princess Leia (Daughter)",https://www.superherodb.com/pictures2/portraits/10/100/10444.jpg
209,Dash,25,12,92,60,20,30,239,Dashiell Robert Parr,,The Fastest Kid on Earth; The Dash,,"The Incredibles (Movies, 2004)",Dark Horse Comics,Good,Male,Human,122,27,Blue,Blond,,,"Incredible Family (genetic member), National Supers Agency (ties), Edna Mode (receives costumes and gadgets from her), Frozone (long-time friend), Mirage (ally)","Robert Parr (Mr Incredible, father), Helen Parr (Elastigirl, mother), Violet Parr(Violet, sister), , Jack-jack (brother)",https://www.superherodb.com/pictures2/portraits/10/100/824.jpg
210,Data,100,32,21,40,56,50,299,Data,,B-4,,,Star Trek,Good,Male,Android,0,0,Yellow,Brown,Lieutenant commander,,,Dr. Noonian Soong (creator),https://www.superherodb.com/pictures2/portraits/10/100/10577.jpg
211,Dazzler,63,10,33,60,100,55,321,Alison Blaire,,Ali; The Disco Dazzler; Songbird; Dazz; Kimberly Schau; Ally,"Gardendale, Long Island, New York",X-Men #130 (1980),Marvel Comics,Good,Female,Mutant,173,52,Blue,Blond,"Adventurer, singer, former actress, model, revolutionary",,"Formerly Excalibur, X-Babies (guardian), Mojoverse Rebellion, X-Men, Cat's Laughing, Gladiators","Bella Blaire (paternal grandmother), Carter Blaire (father, deceased), Katherine Blaire-Brown (Barbara London, mother), Nicholas Brown (step-father), Lois London (half-sister), Longshot (husband)",https://www.superherodb.com/pictures2/portraits/10/100/1043.jpg
212,Deadman,50,10,33,100,100,42,335,Boston Brand,,,,"Strange Adventures #205 (October, 1967)",DC Comics,Good,Male,Human,183,90,Blue,Black,"Wandering Spirit, Former Circus Aerialist","Mobile, Realm of the Just Dead","White Lantern Corps, formerly Sentinels of Magic, Seven Soldiers of Victory, Justice League of Apostles","Cleveland Brand (twin brother, deceased), Lita Brand (niece), Unnamed parents",https://www.superherodb.com/pictures2/portraits/10/100/1472.jpg
213,Deadpool,69,32,50,100,100,100,451,Wade Wilson,"Evil Deadpool, Venompool","Wade Wilson; Jack; Chiyonosake (""the Wolf of the Rice Wine""); Rhodes; Corpus; Lopez; Hobgoblin; Thom Cruz; Peter Parker",Canada,"New Mutants #98 (February, 1991)",Evil Deadpool,Neutral,Male,Mutant,188,95,Brown,No Hair,"Mercenary; former enforcer, government operative, sumo wrestler, soldier, assassin, anti-hero, others","Cavern-X, Sedona, Arizona, Mobile","Thunderbolts (Strike Team), shares body with Agent Preston; formerly X-Force, Deadpool Corps, Agency X, S.H.I.E.L.D.; Code Red, Six Pack, One World Church, DP Inc., Weapon X, Weapon Plus, Heroes for Hire, Secret Defenders, Frightful Four, Team Deadpool, L","Thomas ""Mickey"" Wilson (father, deceased); Hailey Wilson (mother, deceased); Gretchen Wilson, Orksa (ex-wives); Evil Deadpool (clone); Widdle Wade (clone)",https://www.superherodb.com/pictures2/portraits/10/100/835.jpg
214,Deadshot,50,10,23,28,55,80,246,Floyd Lawton,,Man Who Never Misses; Worlds Finest Assassin; Orlando Furioso,,"Batman #59 (June, 1950)",DC Comics,Bad,Male,Human,185,91,Brown,Brown,,,,,https://www.superherodb.com/pictures2/portraits/10/100/670.jpg
215,Deathlok,69,32,30,70,40,60,301,Luther Manning,,Demolisher,,"Astonishing Tales #25 (August, 1974)",Marvel Comics,Good,Male,Cyborg,193,178,Brown,Grey,,New York area,"Former member of the CIA, Project: Alpha-Mech, US Army, ally of Godwulf's Redeemers","Janice (Wife, seperated), Richard (son)",https://www.superherodb.com/pictures2/portraits/10/100/1304.jpg
216,Deathstroke,75,30,35,100,47,90,377,Slade Joseph Wilson,,Slade Wilson; Deathstroke the Terminator; Batman,,"New Teen Titans #2 (December, 1980)",DC Comics,Neutral,Male,Human,193,101,Blue,White,"Mercenary; Former Soldier, Big-Game Hunter",The Labyrinth (exact location is currently unknown),"The Society, Titans; Formerly Tartarus, The Injustice League","Wade LaFarge (Ravager III, half-brother, deceased), Adeline Kane (ex-wife, deceased), Grant Wilson (Ravager I, son, deceased), Joseph Wilson (Jericho, son), Rose Wilson (Ravager IV, daughter)",https://www.superherodb.com/pictures2/portraits/10/100/672.jpg
217,Demogoblin,50,48,42,35,67,60,302,,,Jason Macendale Jr,,"Web of Spider-Man #86 (March, 1992)",Marvel Comics,Bad,Male,Demon,185,95,Red,No Hair,Demonic Redeemer,New York City,,,https://www.superherodb.com/pictures2/portraits/10/100/1515.jpg
218,Destroyer,50,95,58,98,85,70,456,,,,Created in Asgard,Journey into Mystery #118 (1965),Marvel Comics,Bad,Male,,188,383,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1294.jpg
219,Diamondback,44,16,23,28,45,60,216,Willis Stryker,,,,"Luke Cage, Hero for Hire#1 (1972)",Marvel Comics,Bad,Male,Human,193,90,Brown,Black,Criminal,,"Syndicate, formerly Bloods",,https://www.superherodb.com/pictures2/portraits/10/100/1404.jpg
220,DL Hawkins,50,12,12,56,48,56,234,Daniel Lawrence Hawkins,,,,Heroes S01E05 - Hiros,NBC - Heroes,Good,Male,,0,0,,,"Construction worker, Firefighter","Las Vegas, NV",,"Niki Sanders (wife), Micah Sanders (son), Paulette Hawkins (mother), Monica Dawson (cousin), Damon Dawson (cousin)",https://www.superherodb.com/pictures2/portraits/10/100/943.jpg
221,Doc Samson,75,80,33,80,36,70,374,Leonard Samson,,,"Tulsa, Oklahoma","Incredible Hulk #141 (July, 1971)",Marvel Comics,Good,Male,Human / Radiation,198,171,Blue,Green,"Psychiatrist, teacher, adventurer, former special consultant to Gamma Base","Psychiatrist, teacher, adventurer, former special consultant to Gamma Base",,Leonard Skivorski (father); Ricky Myers (son);,https://www.superherodb.com/pictures2/portraits/10/100/54.jpg
222,Doctor Doom,100,32,20,100,100,84,436,Victor von Doom,,The Master; Invincible Man,"Haasenstadt, Latveria",Fantastic Four #5 (July 1962),Marvel Comics,Bad,Male,Human,201,187,Brown,Brown,Monarch,"Castle Doom, Doomstadt, Latveria","Future Foundation; Formerly Cabal, Knights of the Atomic Table, Acts of Vengeance Prime Movers, partner of Namor, employer of the Terrible Trio, Fantastic Four (leader)","Werner von Doom (father, deceased), Cynthia von Doom (mother, deceased); Kang the Conqueror, his counterparts, and offspring (alleged descendants), Kristoff Vernard (Doctor Doom II, adopted son), Dr Bob Doom (distant cousin), Boris (unofficially adoptive father/guardian), Valeria von Doom (daughter from alternate universe; became baby of Susan Richards and is now called Valeria Richards)",https://www.superherodb.com/pictures2/portraits/10/100/189.jpg
223,Doctor Doom II,,,,,,,,Kristoff Vernard,,Victor Von Doom; Dr Doom,"Doomstadt, Latveria","Fantastic Four #247 (1982, as Kristoff), Fantastic Four #278 (1985, as Doctor Doom)",Marvel Comics,Bad,Male,,201,132,Brown,Brown,,"Former monarch, would-be conqueror",,"unnamed mother (deceased), Mister Fantastic (alleged half-brother), Valeria Richards (alleged niece), Victor von Doom (aka Doctor Doom, adopted father)",https://www.superherodb.com/pictures2/portraits/10/100/1018.jpg
224,Doctor Fate,81,16,25,80,100,50,352,Kent Nelson,,Nabu,,"More Fun Comics #55 (May, 1940)",DC Comics,Good,Male,Human,188,89,Blue,Blond,,"Tower of Fate, Salem, Massachusetts","Formerly All-Star Squadron, Justice Society of America, Justice League International, Black Lantern Corps","Inza Cramer (wife), Sven Nelson (father, deceased), Celestine Babcock (mother), Kent Nelson, Jr. (son), Aaron Babcock (uncle), Kent V. Nelson (grand-nephew), Laryn Nelson (great grand-niece)",https://www.superherodb.com/pictures2/portraits/10/100/676.jpg
225,Doctor Octopus,94,48,33,40,53,65,333,Otto Octavius,,Doctor Octopus; Doc Ock; The Master Planner; The Master Programmer; Peter Benjamin Parker; Superior Spider-Man; Venom; Superior Venom,"Schenectady, New York",Amazing Spider-Man #3 (July 1963),Marvel Comics,Bad,Male,Human,175,110,Brown,Brown,"Former atomic-research consultant, criminal mastermind",New York City,Thunderbolts Army; Former leader of the Sinister Six and the Masters of Evil V; Former partner of Green Goblin,,https://www.superherodb.com/pictures2/portraits/10/100/622.jpg
226,Doctor Strange,100,10,12,84,100,60,366,Stephen Strange,,Sorcerer Supreme; Master of the Mystic Arts; Stephen Sanders; Captain Universe; Vincent Stevens,"Philadelphia, Pennsylvania","Strange Tales #110 (July, 1963)",Marvel Comics,Good,Male,Human,188,81,Grey,Black,"Sorcerer Supreme, retired neurosurgeon",,"Defenders, underground Avengers; formerly the Order, Midnight Sons; former disciple of the Ancient One","Eugene (father, deceased), Beverly (mother, deceased), Victor (Khiron, brother, apparently deceased), Donna (sister, deceased), Clea (wife, estranged), Umar (mother-in-law), Orini (father-in-law), Dormammu (uncle-in-law)",https://www.superherodb.com/pictures2/portraits/10/100/55.jpg
227,Domino,63,10,27,28,49,74,251,Neena Thurman,,Dom; Samantha Wu; Tamara Winter; Elena Vladescu; Jessica Marie Costello; Luisa Mendoza; Beatrice; Christina Elizabeth Alioso; Priscilla Sutherland; Hope Eldridge,"Project: Armageddon base, Everglades, Florida","X-Force #8 (March, 1992)",Marvel Comics,Good,Female,Human,173,54,Blue,Black,,,X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack,"Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/902.jpg
228,Donatello,88,14,46,60,58,75,341,,,Don; Donnie,,Teenage Mutant Ninja Turtles #1,IDW Publishing,Good,Male,Mutant,0,0,Green,No Hair,,,,"Leonardo (brother), Michelangelo (brother), Raphael (brother)",https://www.superherodb.com/pictures2/portraits/10/100/10330.jpg
229,Donna Troy,,89,,,,,,Donna Hinckley Stacey Troy,,Donna Troy; Wonder Girl; Darkstar; Wonder Woman; Troia,,The Brave and the Bold Vol. 1 #60 (1965),DC Comics,Good,Female,Amazon,175,63,Blue,Black,,,"Titans of Myth, Teen Titans, Darkstars",,https://www.superherodb.com/pictures2/portraits/10/100/806.jpg
230,Doomsday,75,100,67,100,100,90,532,Doomsday,,The Ultimate Lifeform,Krypton,Superman: The Man of Steel #17 (Nov 1992),DC Comics,Bad,Male,Alien,244,412,Red,White,Destroyer,,"Secret Society of Super Villains, Suicide Squad, Apokolips",,https://www.superherodb.com/pictures2/portraits/10/100/679.jpg
231,Doppelganger,8,63,60,95,69,84,379,,,The Spider-Man Doppelganger; Spider-Doppelganger; Mindless One,The Dimension of Manifestations,Infinity War #1 (1992),Marvel Comics,Bad,Male,,196,104,White,No Hair,,,Formerly Carnage Family; Magus' doppelgangers; operative of Demogoblin,"Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)",https://www.superherodb.com/pictures2/portraits/10/100/1320.jpg
232,Dormammu,88,95,83,100,100,80,546,Dormammu,,The Dread One; Eater of Souls; Lord of Chaos; Lord of Darkness; the Great Enigma; Flyx,Faltine Dimension,Strange Tales #126 (1964),Marvel Comics,Bad,Male,,185,0,Yellow,No Hair,"Despot, conqueror",,"Lords of the Splinter Realms, Lords of the Netherworlds; allied with Umar, Loki, Doctor Doom, Underchild, others","Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)",https://www.superherodb.com/pictures2/portraits/10/100/1359.jpg
233,Dr Manhattan,88,100,42,100,100,42,472,Jonathan Osterman,,Jon Osterman; Doctor Manhattan,,"Watchmen #1 (September, 1986)",DC Comics,Good,Male,Human / Cosmic,0,0,White,No Hair,Scientist,New York City; formerly Mars,"Watchmen, Crimebusters",,https://www.superherodb.com/pictures2/portraits/10/100/884.jpg
234,Drax the Destroyer,56,80,25,85,46,65,357,Arthur Sampson Douglas,,,"Burbank, California","Iron Man #55 (February, 1973)",Marvel Comics,Good,Male,Human / Altered,193,306,Red,No Hair,,C.I.T.T.; formerly Monster Isle and Titan,"Guardians of the Galaxy; formerly Infinity Watch, Secret Defenders, United Front, Selects of the Phalanx","Yvette Steckley Douglas (wife, deceased), Heather Douglas (aka Moondragon, daughter), Pamela Douglas (aka Sundragon, niece), Cammille Benally (foster daughter), Venom (former symbiote)",https://www.superherodb.com/pictures2/portraits/10/100/10016.jpg
235,Ego,88,80,83,99,71,28,449,Ego,,The Living Planet,The Black Galaxy,THOR #132,Marvel Comics,Bad,,,0,0,,,Inapplicable,Mobile,,Inapplicable,https://www.superherodb.com/pictures2/portraits/10/100/6.jpg
236,Elastigirl,63,32,33,95,52,70,345,Helen Parr,,Mrs Incredible,,"The Incredibles (Movies, 2004)",Dark Horse Comics,Good,Female,Human,168,56,Brown,Brown,,,"Incredible Family (co-leader), National Supers Agency (ties), Edna Mode (receives costumes and gadgets from her), Frozone (long-time friend), Mirage (ally), Snug Porter (receives aircraft from him)","Robert Parr(Mr Incredible, husband), Violet Parr(Violet, daughter), Dashiell Parr (Dash, son), Jack-jack (son)",https://www.superherodb.com/pictures2/portraits/10/100/870.jpg
237,Electro,69,10,50,56,67,64,316,Maxwell Dillon,,,,Amazing Spider-Man #9 (1964),Marvel Comics,Bad,Male,Human,180,74,Blue,Auburn,Professional criminal,,"Sinister Six formerly Emissaries of Evil, Frightful Four and Sinister Twelve","Norma Lynn Dillon (ex-wife), Jonathan Dillon (father, deceased), Anita Dillon (mother, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/7.jpg
238,Elektra,63,11,30,28,59,100,291,Elektra Natchios,,Erynys (evil self),,Daredevil #168,Marvel Comics,Good,Female,Human,175,59,Blue,Black,"Assassin, adventurer, mercenary, former student, dancer",,"S.H.I.E.L.D.; formerly Thunderbolts, Hand, Chaste, Heroes For Hire, Code Red, partner of Daredevil and Deadpool","Hugo Kostas Natchios (father, deceased), Christina Natchios (mother, deceased), Orestez Natchios (older brother), Demetrios Natchios (Uncle), Alexia Natchios (Aunt)",https://www.superherodb.com/pictures2/portraits/10/100/625.jpg
239,Elle Bishop,50,8,12,42,63,42,217,,,Cindy,,Heroes S02E05 - Fight or Flight,NBC - Heroes,Bad,Female,,0,0,Blue,Blond,Agent of the Company,,,Bob Bishop (Father),https://www.superherodb.com/pictures2/portraits/10/100/1021.jpg
240,Elongated Man,75,10,33,90,44,40,292,Ralph Dibny,,Alvin Burgson; Molder,,Flash #112 (1960),DC Comics,Good,Male,,185,80,Blue,Red,Detective,"Opal City, Central City","Justice League of America, Justice League Europe, Super Buddies, Outsiders, Croatoans, Black Lantern Corps","Sue Dibny (wife, deceased); Ken Dibny (brother); Jake Dibny (uncle); Jim (uncle-in-law)",https://www.superherodb.com/pictures2/portraits/10/100/1381.jpg
241,Emma Frost,75,63,35,90,100,42,405,Emma Frost,,Storm; White Queen,"Boston, Massachusetts",UNCANNY X-MEN #132,Marvel Comics,Good,Female,,178,65,Blue,Blond,,"(current) Emma Frost operates from the Massachusetts Academy, Snow Valley, Massachusetts, (former) Hellfire Club mansion in New York City, a home in the Berkshire Mountains in Massachusetts (near the Massachusetts Academy), and places of residence in vari","Active member of the X-Men, Instructor for Generation X, The Inner Circle of the Hellfire Club","Winston Frost (father), Hazel Frost (mother), Christian Frost (brother) Adrienne Frost (sister, deceased,) Cordelia Frost (sister)",https://www.superherodb.com/pictures2/portraits/10/100/325.jpg
242,Enchantress,63,14,25,60,100,40,302,June Moone,,Anita Soulfeeda; Soulsinger,,Strange Adventures #187,DC Comics,Good,Female,Human,168,57,Blue,Blond,Artist; Magician,,"Forgotten Villains, Sentinels of Magic, Shadowpact, Suicide Squad",,https://www.superherodb.com/pictures2/portraits/10/100/687.jpg
243,Energy,,,,,,,,,,,,,HarperCollins,Good,Female,,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1155.jpg
244,ERG-1,,,,,,,,,,,,,DC Comics,Good,Male,,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1187.jpg
245,Ethan Hunt,75,11,29,30,26,95,266,Ethan Hunt,,,"Madison, Wisconsin, United States of America",,,Good,Male,Human,168,0,Brown,Brown,"IMF Agent, Training Officer (former), Field Agent, Field Team Leader",,Formerly: United States Army,"Nathan Hunt (Father), Margaret Hunt (Mother), Donald Hunt (Uncle)",https://www.superherodb.com/pictures2/portraits/10/100/10476.jpg
246,Etrigan,50,85,17,100,100,50,402,Jason Blood,,Demon,Hell,"Demon #1 (September, 1972)",DC Comics,Neutral,Male,Demon,193,203,Red,No Hair,,Hell,"Formerly Justice League of America, Spirit Squad","Belial (father), Raan va Daath (mother), Merlin (half Brother)",https://www.superherodb.com/pictures2/portraits/10/100/10429.jpg
247,Evil Deadpool,69,32,50,100,100,100,451,Wade Wilson,"Deadpool, Venompool",Dreadpool,,"Deadpool Vol 2 #44 (December, 2011)",Marvel Comics,Bad,Male,Mutant,188,95,White,Red,"Mercenary, Assasin",,Evil Deadpool Corps,,https://www.superherodb.com/pictures2/portraits/10/100/10090.jpg
248,Evilhawk,50,32,33,70,85,64,334,Dargin Bokk,,,,"Darkhawk #20 (October, 1992)",Marvel Comics,Bad,Male,Alien,191,106,Red,Black,Crimelord,(Formerly) planet Luq,,,https://www.superherodb.com/pictures2/portraits/10/100/1516.jpg
249,Exodus,63,81,28,28,100,70,370,Bennet du Paris,,Paris Bennet,,"X-Factor #92 (July, 1993)",Marvel Comics,Bad,Male,Mutant,183,88,Blue,Black,"Terrorist, would-be conqueror, Former leader of the Acolytes, Crusader","Currently mobile, Formerly Avalon","Acolytes, formerly Brotherhood and Marauders",,https://www.superherodb.com/pictures2/portraits/10/100/1517.jpg
250,Fabian Cortez,,,,,,,,Fabian Cortez,,,Place of birth unknown,X-Men (Vol. 2) #1,Marvel Comics,Bad,,,196,96,Blue,Brown,,Genosha at time of death; Formerly Asteroid M,Acolytes at time of death; Formerly Upstarts,"Annemarie Cortez (sister, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/24.jpg
251,Falcon,38,13,50,28,22,64,215,Sam Wilson,,Sam Wilson; (formerly) Captain America; Blackbird; Blackwing; Brother Superhero,"New York, New York","Captain America #117 (September, 1969)",Marvel Comics,Good,Male,Human,188,108,Brown,Black,"Crimefighter, (former) freelance artist","New York, New York; formerly Avengers Mansion, New York City, New York; S.H.I.E.L.D. Helicarrier.","Mighty Avengers, Avengers, S.H.I.E.L.D.; partner of Redwing; formerly Heroes For Hire, partner of Captain America, Secret Avengers, S.H.I.E.L.D. Super-Agents (leader), Defenders, ally of Secret Warriors , Defenders for a Day","Paul Wilson (father, deceased); Darlene Wilson (mother, deceased); Sarah Wilson (sister), Gideon Wilson (brother); Jim Wilson (nephew, deceased); Jody Casper (nephew)",https://www.superherodb.com/pictures2/portraits/10/100/56.jpg
252,Fallen One II,88,85,83,100,100,56,512,,,,,,Marvel Comics,Bad,Male,,0,0,Black,Blue,,,Heralds of Galactus,,https://www.superherodb.com/pictures2/portraits/10/100/1051.jpg
253,Faora,88,95,75,100,98,90,546,Faora Hu-Ul,,Katie,,"Action Comics #471 (May, 1977)",DC Comics,Bad,Female,Kryptonian,0,0,,,Serial killer,Phantom Zone; formerly Krypton,Phantom Zone Criminals,"Hu-Ul (father, presumably deceased)",https://www.superherodb.com/pictures2/portraits/10/100/1502.jpg
254,Feral,38,28,45,28,27,70,236,Maria Callasantos,,,Place of birth unknown,NEW MUTANTS #99,Marvel Comics,Good,,,175,50,Yellow (without irises),Orange / White,"Formerly Adventurer, Terrorist",Base of operations unknown,"Formerly Morlocks, X-Force, Mutant Liberation Front","Mr. Callasantos (father, first name unrevealed, deceased), Marcella Callasantos (mother, deceased), Lucia Callasantos (Thornn, sister), Matteo Callasantos (brother, deceased), Carolina Callasantos (sister, deceased)",https://www.superherodb.com/pictures2/portraits/10/100/57.jpg
255,Fighting Spirit,,,,,,,,Carol Carter,,Yankette; Fighting Yank II,,,DC Comics,Good,Female,,0,0,,Red,,"SMASH HQ, Antarctica, Earth; New Lancaster","Fighting Yank I, SMASH",Bruce Carter (father),https://www.superherodb.com/pictures2/portraits/10/100/1167.jpg
256,Fin Fang Foom,50,81,23,100,75,70,399,,,He Whose Limbs Shatter Mountains and Whose Back Scrapes the Sun (translation),,,Marvel Comics,Good,Male,Kakarantharaian,975,,Red,No Hair,,"New York, formerly Valley of the Sleeping Dragon in China","Affiliation ""Fin Fang Four,"" former ally of the Mandarin, pawn of Doctor Vault, member of starship crew",Fraktur (cousin),https://www.superherodb.com/pictures2/portraits/10/100/1518.jpg
257,Firebird,38,8,40,14,100,42,242,Bonita Juarez,,Pajaro Del Fuego; La Espirita; Firemaiden,"Buena Vista, New Mexico",INCREDIBLE HULK Vol. 2 #265,Marvel Comics,Good,Female,,165,56,Brown,Black,"Social worker, adventurer",New Mexico,"Catholic Church; formerly the Rangers, provisional member of the Avengers West Coast, Queen's Vengeance",,https://www.superherodb.com/pictures2/portraits/10/100/58.jpg
258,Firelord,38,63,75,90,52,28,346,Pyreus Kril,,Nova Centurion,"Xander, planet in Tranta System, Andromeda Galaxy",THOR Vol. 1 #225,Marvel Comics,Good,,,193,99,White,Yellow,"Former starship captain, former herald of Galactus",Mobile; usually in space,"Formerly Nova Corps, Guardians of the Galaxy (in an alternate future)",,https://www.superherodb.com/pictures2/portraits/10/100/59.jpg
259,Firestar,50,8,54,55,71,32,270,Angelica Jones,,Angel; Anj; Lady Comet,Place of birth unknown,"Uncanny X-Men #193 (May, 1985)",Marvel Comics,Good,Female,Mutant,173,56,Green,Red,Student,"New Warriors Crash Pad, New York City, New York State; Avengers Mansion, New York City, New York State; and formerly Massachusetts Academy, Snow Valley, Massachusetts","New Warriors Reservist, Avengers Reservist, and Former Hellion and student of the White Queen","Bartholomew Jones (father), Nana (grandmother)",https://www.superherodb.com/pictures2/portraits/10/100/60.jpg
260,Firestorm,50,53,58,56,100,42,359,Jason Rusch,,The Nuclear Man,,Firestorm (Volume 3) #1,DC Comics,Good,Male,,0,0,Brown,Black,University student; former food server at Bryson's Family Treat; former mascot at Ho-Ho Charlie's Chicken Shack; former intern at S.T.A.R. Labs,"Detroit, Michigan","Justice League of America, formerly Lexcorp",Alvin Rusch (father),https://www.superherodb.com/pictures2/portraits/10/100/689.jpg
261,Firestorm,38,80,58,80,100,40,396,Ronald Raymond,,Ronnie; Roy; Ronald Rockwell; Flamehead,,"Firestorm #1 (March, 1978)",DC Comics,Good,Male,Human,188,91,Blue,Auburn,Adventurer; former employee of Bun 'n Run,"Formerly Manhattan, New York City; Ivy University, Ivy Town; Pittsburgh, Pennsylvania","Firestorm Matrix, Justice League,formerly Black Lantern Corps, Power Company, White Lantern Corps","Edward Raymond (father); Elaine Rockwell (mother, deceased); Felicity Smoak-Raymond (stepmother); Richard Dare (grandfather)",https://www.superherodb.com/pictures2/portraits/10/100/10395.jpg
262,Fixer,,,,,,,,Paul Norbert Ebersol,,Fixer,"Dayton, Ohio",(as Fixer) STRANGE TALES #141,Marvel Comics,Bad,,,0,0,Red,No Hair,Criminal inventor,Mount Charteris,"formerly Thunderbolts, Redeemers",No known relatives,https://www.superherodb.com/pictures2/portraits/10/100/9.jpg
263,Flash,63,10,100,50,68,32,323,Jay Garrick,,Jay Garrick; Siegfreid the Speedster,"Hibbardsville, Kansas",Flash Comics #1 (January 1940),DC Comics,Good,Male,Human,180,81,Blue,Brown / White,"Research Scientist, part-time Director of Garrick Laboratories","Keystone City, Kansas","Justice Society of America, Flash Family; formerly All-Star Squadron","Joseph Garrick (father), Joan Williams (wife), Arthur Williams (father-in-law), unnamed adopted son (deceased), Bart Allen (Flash II, ward)",https://www.superherodb.com/pictures2/portraits/10/100/891.jpg
264,Flash Gordon,,69,,,,,,Steven Gordon,,,,Flash Gordon #1 (september 1966),DC Comics,Good,Male,,0,0,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1345.jpg
